#OTUID	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
ASV_295	18	15	13	21	13	15	21	20	11	13	13	26	18	14	11	14	10	18
ASV_323	7	31	16	27	16	12	12	19	13	12	8	22	26	10	14	16	24	10
ASV_948	17	17	10	25	22	16	21	18	15	20	12	14	18	16	21	9	9	12
ASV_296	12	2	5	10	5	3	6	29	6	51	45	17	3	16	14	36	10	17
ASV_314	11	13	5	8	8	25	6	20	28	30	13	33	21	8	14	27	10	13
ASV_316	5	14	6	11	2	6	13	8	4	17	10	12	11	18	22	23	5	99
ASV_317	60	5	86	7	1	8	6	9	10	9	11	27	1	5	13	27	2	3
ASV_302	9	6	1	6	6	1	24	25	30	19	27	21	15	14	23	18	14	22
ASV_310	7	10	8	10	7	7	23	24	11	34	11	49	2	4	2	6	57	14
ASV_303	26	13	0	2	1	13	11	17	46	17	9	25	17	1	9	4	7	64
ASV_311	10	7	11	9	4	3	35	29	22	43	16	7	5	18	21	13	15	14
ASV_354	18	21	7	18	17	23	15	14	17	14	18	16	9	12	19	14	16	9
ASV_356	8	20	11	10	7	9	21	20	16	13	18	15	21	18	13	23	14	16
ASV_290	15	25	9	10	22	16	19	13	12	15	18	12	9	4	30	18	12	15
ASV_293	3	0	7	0	47	2	9	0	43	2	66	1	68	2	25	3	0	0
ASV_304	12	20	10	11	2	6	30	15	21	14	21	15	11	15	13	17	22	18
ASV_531	33	11	5	2	119	6	1	41	2	10	16	5	1	3	1	3	1	9
ASV_299	18	35	7	19	15	11	11	6	15	12	10	7	21	12	18	25	7	23
ASV_298	15	26	18	5	42	12	2	4	11	9	9	17	4	55	7	5	5	7
